Boat_Type,Type,Year_Built,Length,Width,Displacement,Category,People,Cabins,Toilets,Material,Water,Propulsion,Fuel_Capacity,Fuel_Type,Engine_Hours,Price
6.0,0.0,2011.0,4.5,1.95,887.4,1.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,474.3,9813.1
1.0,0.0,1994.0,5.5,2.2,900.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,3.0,0.0,9650.0
1.0,0.0,1984.0,6.0,2.3,1141.9,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,954.0,9719.6
1.0,1.0,2016.0,4.88,2.03,530.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9575.0
2.0,1.0,2019.0,4.8,2.0,935.6,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9553.0
4.0,0.0,1964.0,8.4,2.85,8203.8,1.0,0.0,0.0,0.0,7.0,0.0,0.0,200.0,0.0,0.0,9500.0
1.0,1.0,2019.0,5.7,2.1,1073.1,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,9500.0
2.0,0.0,1985.0,6.8,2.5,1279.5,1.0,0.0,1.0,1.0,3.0,100.0,1.0,60.0,4.0,474.3,9500.0
4.0,0.0,1975.0,9.0,3.0,8750.8,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9500.0
0.0,0.0,1998.0,3.99,1.74,788.3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0
1.0,0.0,1991.0,6.18,2.42,1183.2,1.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,400.0,10280.4
0.0,0.0,2006.0,7.0,1.9,1224.5,2.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10280.4
6.0,0.0,2006.0,6.0,1.6,350.0,2.0,6.0,0.0,0.0,3.0,0.0,2.0,25.0,3.0,474.3,10280.4
1.0,1.0,2020.0,4.99,2.1,975.5,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10115.0
0.0,1.0,2020.0,4.5,1.65,846.1,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10186.9
1.0,0.0,1994.0,5.51,2.21,1062.1,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,620.0,10186.9
1.0,0.0,1993.0,8.5,2.6,6000.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,265.0,3.0,200.0,10000.0
1.0,0.0,1979.0,7.25,2.37,7015.2,1.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,240.0,10000.0
1.0,1.0,2018.0,5.9,2.38,600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
3.0,0.0,1978.0,7.8,2.45,7474.6,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10000.0
0.0,0.0,1975.0,12.0,3.0,10938.5,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,10000.0
3.0,0.0,1940.0,12.5,2.5,10938.5,2.0,6.0,1.0,0.0,7.0,40.0,1.0,200.0,4.0,1350.0,10000.0
1.0,0.0,1991.0,7.15,2.36,1000.0,3.0,8.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,600.0,10000.0
1.0,0.0,1995.0,7.02,2.52,6956.9,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10000.0
4.0,0.0,1995.0,7.02,2.52,6956.9,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,10000.0
1.0,0.0,1988.0,6.3,2.34,949.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,106.0,0.0,250.0,11000.0
2.0,0.0,1974.0,4.9,2.1,963.1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,45.0,3.0,0.0,11000.0
4.0,0.0,1997.0,6.5,2.4,2207.0,1.0,8.0,1.0,0.0,3.0,0.0,0.0,246.0,0.0,0.0,11000.0
1.0,0.0,1996.0,7.03,2.54,6978.7,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,750.0,11000.0
0.0,0.0,1971.0,5.79,2.2,1099.3,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,39.0,11000.0
1.0,0.0,1999.0,5.2,2.15,1011.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11000.0
4.0,0.0,1998.0,6.13,2.39,1238.0,1.0,8.0,1.0,0.0,3.0,0.0,0.0,170.0,3.0,0.0,11000.0
1.0,0.0,1992.0,7.8,2.59,2420.0,1.0,7.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,474.3,11000.0
1.0,0.0,2000.0,6.0,2.4,1155.7,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,474.3,11000.0
4.0,0.0,1986.0,7.4,2.5,7219.4,2.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,474.3,11000.0
1.0,0.0,1987.0,7.62,2.97,7722.6,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11000.0
0.0,1.0,2020.0,5.07,2.12,582.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,50.0,0.0,0.0,10999.0
1.0,1.0,2020.0,5.1,2.1,990.6,1.0,0.0,0.0,0.0,3.0,0.0,2.0,25.0,3.0,0.0,10999.0
1.0,1.0,2020.0,5.2,2.22,1020.9,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10999.0
4.0,0.0,2003.0,4.7,2.3,963.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10990.0
1.0,0.0,1993.0,7.75,2.75,7656.9,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,470.0,12000.0
1.0,0.0,1990.0,6.43,2.25,1400.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,170.0,3.0,522.0,12000.0
4.0,0.0,1973.0,7.0,1.9,600.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,24.0,3.0,72.0,12000.0
4.0,0.0,1979.0,6.5,2.2,1200.0,1.0,7.0,1.0,0.0,3.0,60.0,1.0,80.0,4.0,1330.0,12000.0
1.0,0.0,1988.0,6.16,2.49,1190.1,1.0,7.0,1.0,0.0,5.0,0.0,3.0,200.0,3.0,474.3,12000.0
2.0,0.0,1978.0,7.2,2.95,2500.0,3.0,8.0,2.0,0.0,3.0,80.0,3.0,300.0,4.0,474.3,12000.0
4.0,0.0,1970.0,7.75,2.65,7584.0,3.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,3.0,474.3,12000.0
4.0,0.0,1978.0,7.6,2.6,1750.0,1.0,6.0,0.0,0.0,3.0,80.0,1.0,90.0,4.0,474.3,12000.0
4.0,0.0,1989.0,5.6,2.24,1400.0,1.0,6.0,1.0,0.0,3.0,0.0,3.0,100.0,3.0,474.3,12000.0
1.0,1.0,2019.0,4.6,1.8,295.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11990.0
1.0,0.0,2005.0,5.0,4.96,500.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,270.0,11990.0
1.0,1.0,2019.0,5.3,2.39,1058.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12102.8
1.0,1.0,2019.0,4.0,1.0,260.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11962.4
0.0,1.0,2020.0,4.0,2.0,490.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11962.4
0.0,1.0,2020.0,5.0,1.9,949.3,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12056.1
0.0,1.0,2019.0,4.5,1.75,450.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,12056.1
1.0,1.0,2020.0,5.1,2.17,450.0,3.0,7.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,12890.0
0.0,0.0,1994.0,5.8,2.47,1137.8,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,522.0,12979.4
1.0,0.0,2019.0,4.8,2.0,500.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,12800.0
1.0,0.0,1994.0,6.4,2.36,1205.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0
0.0,1.0,2020.0,4.9,1.9,935.6,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12770.0
0.0,1.0,2020.0,4.0,1.0,687.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12767.5
0.0,1.0,2020.0,5.7,2.25,1093.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12750.0
0.0,1.0,2019.0,5.0,2.0,963.1,1.0,5.0,0.0,0.0,3.0,0.0,2.0,50.0,3.0,0.0,12500.0
3.0,0.0,1973.0,8.5,3.1,4800.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,12500.0
3.0,0.0,1913.0,14.7,3.65,14000.0,1.0,12.0,3.0,1.0,7.0,0.0,1.0,250.0,4.0,474.3,12500.0
1.0,0.0,1994.0,5.6,2.2,1300.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,550.0,12500.0
4.0,0.0,1983.0,7.2,2.85,7328.8,1.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,0.0,0.0,12500.0
0.0,0.0,1965.0,6.12,2.22,1147.4,1.0,0.0,0.0,0.0,6.0,0.0,0.0,40.0,0.0,0.0,12500.0
0.0,0.0,1950.0,6.0,2.2,1128.2,1.0,0.0,0.0,0.0,6.0,0.0,0.0,45.0,0.0,0.0,12500.0
1.0,0.0,1984.0,7.05,2.5,2700.0,1.0,8.0,1.0,0.0,3.0,100.0,3.0,300.0,3.0,1300.0,13831.8
0.0,1.0,2014.0,5.0,2.0,963.1,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13690.0
0.0,1.0,2018.0,4.57,1.93,450.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13738.3
1.0,1.0,2019.0,5.7,2.1,1073.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13566.0
0.0,0.0,1992.0,6.77,2.28,1245.1,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,950.0,13551.4
1.0,0.0,1998.0,5.95,2.48,1159.8,1.0,0.0,1.0,0.0,3.0,0.0,0.0,100.0,3.0,0.0,13500.0
1.0,0.0,1997.0,6.4,2.54,1600.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,151.0,3.0,350.0,13500.0
0.0,0.0,1999.0,6.16,2.48,1188.7,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,4.0,597.0,13500.0
2.0,0.0,1995.0,7.75,2.57,7525.7,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13500.0
1.0,0.0,1996.0,7.0,2.0,1238.2,1.0,0.0,1.0,0.0,4.0,0.0,0.0,100.0,4.0,20.0,13500.0
0.0,0.0,2002.0,5.45,2.15,1400.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,474.3,13500.0
1.0,0.0,1990.0,8.8,2.79,8451.8,1.0,0.0,1.0,0.0,3.0,0.0,0.0,400.0,3.0,0.0,13500.0
0.0,0.0,2014.0,4.5,2.0,894.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,35.0,13500.0
1.0,0.0,2006.0,6.5,2.44,1230.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,323.0,13500.0
0.0,0.0,1963.0,6.0,2.4,1155.7,1.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,13500.0
0.0,0.0,1998.0,3.0,2.0,1107.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,14500.0
6.0,1.0,2020.0,5.76,2.25,670.0,1.0,6.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,14579.4
0.0,1.0,2018.0,4.9,2.08,960.3,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,14366.0
0.0,0.0,2006.0,5.25,2.16,620.0,1.0,4.0,0.0,0.0,3.0,0.0,2.0,42.0,3.0,300.0,14486.0
4.0,0.0,1997.0,5.9,2.29,1100.0,1.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,474.3,14486.0
2.0,1.0,2019.0,4.52,1.9,883.3,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14392.5
1.0,0.0,2019.0,6.35,2.45,880.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0
1.0,1.0,2019.0,5.68,1.99,470.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,14200.0
1.0,0.0,1997.0,9.15,3.0,8860.2,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,474.3,14000.0
0.0,0.0,2019.0,6.42,2.38,800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0
1.0,0.0,1990.0,6.42,2.38,1210.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,70.0,14000.0
1.0,1.0,2018.0,5.6,2.35,540.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0
4.0,0.0,2008.0,4.99,2.07,971.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,3.0,0.0,14000.0
1.0,0.0,1992.0,7.16,2.59,7110.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,155.0,3.0,30.0,14000.0
2.0,0.0,2008.0,5.55,2.47,1103.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14950.0
